"sex","Order","edu","ethnic","politicalid_6","country_mig","major","age","Mn_RT_all_3467","PCT_error_3467","D_biep.Male_Career_all","assocareer","assofamily","impcareer","impfamily","havechildren","numboys","numgirls","planchildren"
"m",1,7,4,6,TRUE,12,28,714.966666666667,9.16666666666667,0.403646404685804,3,3,4,4,"no",NA,NA,"1"
"m",2,3,5,6,FALSE,NA,36,801.308333333333,3.33333333333333,0.555039007844047,3,2,1,3,"no",NA,NA,"2"
"f",1,7,5,3,TRUE,2,30,755.408333333333,8.33333333333333,0.96524122025667,3,2,5,4,"no",NA,NA,"3"
"f",2,7,5,5,FALSE,8,26,844.808333333333,8.33333333333333,0.863141148631946,3,2,4,4,"no",NA,NA,"3"
"f",2,7,5,5,FALSE,5,45,839,4.16666666666667,0.356724559315143,3,3,5,5,"yes",NA,NA,"."
"f",1,1,5,NA,TRUE,NA,34,1100.775,0.833333333333333,0.892089025313659,3,3,3,3,"no",NA,NA,"2"
"m",2,9,2,4,FALSE,6,20,895.058333333333,4.16666666666667,0.64004171421887,3,2,5,5,"no",NA,NA,"3"
"m",2,9,5,5,FALSE,4,24,873.266666666667,3.33333333333333,0.417395860304816,3,2,3,4,"no",NA,NA,"3"
"f",1,7,5,2,FALSE,2,49,689.366666666667,0.833333333333333,0.54568959016081,3,3,5,5,"no",NA,NA,"2"
"f",1,13,5,3,FALSE,2,35,700.375,5.83333333333333,0.0955962530640917,3,3,3,5,"yes",NA,NA,"."
"f",1,5,6,4,TRUE,4,28,1092.46666666667,5,0.505378787367852,3,3,2,3," ",NA,NA,"1"
"m",1,5,5,NA,FALSE,13,21,797.008333333333,2.5,0.386266456270021,5,1,4,4,"no",NA,NA,"1"
"f",2,5,5,3,TRUE,6,20,685.15,5.83333333333333,0.760214697889148,3,2,4,4,"no",NA,NA,"3"
"m",1,11,5,4,FALSE,7,42,831.791666666667,4.16666666666667,0.857471344240306,4,3,4,5,"yes",NA,NA,"."
"m",2,8,5,2,FALSE,2,47,1031.53333333333,5,1.09851612944311,4,2,1,1,"no",NA,NA,"2"
"m",2,9,5,2,FALSE,1,22,786.916666666667,4.16666666666667,0.981336493686463,5,2,5,4,"no",NA,NA,"3"
"f",2,9,5,6,FALSE,8,44,1210.58333333333,5,0.413980163525331,3,2,4,5,"yes",NA,NA,"."
"f",1,7,8,5,FALSE,8,24,825.041666666667,5,0.740991261006444,3,2,5,5,"no",NA,NA,"3"
"f",2,12,5,5,FALSE,6,32,590.466666666667,3.33333333333333,0.192966117496334,4,2,3,3,"no",NA,NA,"1"
"m",1,8,5,3,TRUE,4,26,882.333333333333,10,0.315759758565738,4,2,5,5,"no",NA,NA,"3"
"m",2,NA,5,3,FALSE,NA,25,920.666666666667,0,0.913835067568504,3,2,4,3,"no",NA,NA,"3"
"m",1,9,5,6,FALSE,12,49,946.058333333333,6.66666666666667,0.332548990659525,4,2,4,5,"yes",NA,NA,"."
"f",2,13,5,5,TRUE,13,32,835.191666666667,0,0.437102740129413,3,2,4,3,"no",NA,NA,"1"
"m",2,12,5,4,TRUE,1,40,1307.05833333333,3.33333333333333,-0.00850266347454605,4,2,4,3,"no",NA,NA,"1"
"f",1,9,5,3,FALSE,2,29,718.95,10,0.454109061479742,4,2,5,4,"no",NA,NA,"1"
"f",2,5,5,4,FALSE,7,37,738.716666666667,1.66666666666667,0.815482557694833,3,2,3,4,"yes",NA,NA,"."
"m",1,9,6,6,TRUE,8,33,759.05,2.5,-0.0389247727354781,3,3,3,3,"no",NA,NA,"1"
"f",2,12,5,5,TRUE,6,27,710.1,6.66666666666667,0.0920183130928126,3,2,4,4,"no",NA,NA,"3"
"m",2,7,5,3,FALSE,6,40,912.066666666667,0.833333333333333,1.03255349933411,5,4,5,4,"no",NA,NA,"1"
"f",1,4,NA,5,FALSE,NA,19,675.833333333333,4.16666666666667,0.488187451777216,3,2,4,5,"no",NA,NA,"1"
"f",2,9,5,4,FALSE,11,40,755,6.66666666666667,0.145481475619086,5,2,5,5,"yes",NA,NA,"."
"m",1,5,5,4,FALSE,6,20,819.308333333333,10,0.276644614120249,4,3,3,4,"no",NA,NA,"1"
"m",1,4,5,3,FALSE,13,44,915.283333333333,8.33333333333333,0.47649357963226,3,2,2,5,"yes",NA,NA,"1"
"m",2,7,5,5,FALSE,6,29,696.533333333333,8.33333333333333,0.200440184540023,4,2,3,4,"yes",NA,NA,"."
"f",1,8,5,5,FALSE,9,30,552.25,5,-0.261710099216532,3,2,3,5,"yes",NA,NA,"."
