lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef.subtitles_conditional_probability_ngram_None_r1_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef.subtitles_conditional_probability_ngram_None_r1_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
euc_bnc_pmi_None_r10,m_RT ~ country +  Letters_n + logBNC,-0.029,-0.195,0.168,0.0251537460813086,-0.51,0.001,1166.5,euc_bnc_pmi_None_r10m_RT ~ country +  Letters_n + logBNC,euc_bnc_pmi_None_r10,m_RT ~ country +  Letters_n + logBNC,-0.027,-0.195,0.146,0.0251537460813086,-0.51,0.001,1167.9,bnc,euc,lowercase,pmi_None,r_10,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_pmi_None_r3,m_RT ~ country +  Letters_n + logBNC,-0.104,-0.251,0.049,0.031150710096384,-0.56,0,1163.9,euc_bnc_pmi_None_r3m_RT ~ country +  Letters_n + logBNC,euc_bnc_pmi_None_r3,m_RT ~ country +  Letters_n + logBNC,-0.102,-0.253,0.069,0.031150710096384,-0.56,0,1165.2,bnc,euc,lowercase,pmi_None,r_03,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_pmi_None_r5,m_RT ~ country +  Letters_n + logBNC,-0.084,-0.251,0.076,0.0283245923721428,-0.55,0,1164.4,euc_bnc_pmi_None_r5m_RT ~ country +  Letters_n + logBNC,euc_bnc_pmi_None_r5,m_RT ~ country +  Letters_n + logBNC,-0.082,-0.254,0.077,0.0283245923721428,-0.55,0,1165.7,bnc,euc,lowercase,pmi_None,r_05,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_ppmi_None_r1,m_RT ~ country +  Letters_n + logBNC,-0.155,-0.306,0.012,0.0356205440516944,-0.54,0,1163.3,euc_bnc_ppmi_None_r1m_RT ~ country +  Letters_n + logBNC,euc_bnc_ppmi_None_r1,m_RT ~ country +  Letters_n + logBNC,-0.154,-0.296,-0.01,0.0356205440516944,-0.55,0,1164.6,bnc,euc,lowercase,ppmi_None,r_01,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_ppmi_None_r10,m_RT ~ country +  Letters_n + logBNC,-0.031,-0.185,0.155,0.0245470395384678,-0.53,0.001,1166.6,euc_bnc_ppmi_None_r10m_RT ~ country +  Letters_n + logBNC,euc_bnc_ppmi_None_r10,m_RT ~ country +  Letters_n + logBNC,-0.03,-0.189,0.138,0.0245470395384678,-0.53,0.001,1167.9,bnc,euc,lowercase,ppmi_None,r_10,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_ppmi_None_r3,m_RT ~ country +  Letters_n + logBNC,-0.105,-0.26,0.056,0.0294215333650434,-0.57,0,1164,euc_bnc_ppmi_None_r3m_RT ~ country +  Letters_n + logBNC,euc_bnc_ppmi_None_r3,m_RT ~ country +  Letters_n + logBNC,-0.103,-0.25,0.042,0.0294215333650434,-0.57,0,1165.3,bnc,euc,lowercase,ppmi_None,r_03,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_ppmi_None_r5,m_RT ~ country +  Letters_n + logBNC,-0.085,-0.217,0.035,0.026932301316599,-0.55,0,1164.5,euc_bnc_ppmi_None_r5m_RT ~ country +  Letters_n + logBNC,euc_bnc_ppmi_None_r5,m_RT ~ country +  Letters_n + logBNC,-0.083,-0.234,0.08,0.026932301316599,-0.56,0,1165.9,bnc,euc,lowercase,ppmi_None,r_05,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_probability_ratios_None_r1,m_RT ~ country +  Letters_n + logBNC,-0.468,-0.573,-0.348,0.00260279680992484,0,0.003,1168.9,euc_bnc_probability_ratios_None_r1m_RT ~ country +  Letters_n + logBNC,euc_bnc_probability_ratios_None_r1,m_RT ~ country +  Letters_n + logBNC,-0.465,-0.569,-0.34,0.00260279680992484,0,0.003,1170.4,bnc,euc,lowercase,probability_ratios_None,r_01,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_probability_ratios_None_r10,m_RT ~ country +  Letters_n + logBNC,-0.396,-0.539,-0.257,0.00459673140755428,0,0.047,1174.1,euc_bnc_probability_ratios_None_r10m_RT ~ country +  Letters_n + logBNC,euc_bnc_probability_ratios_None_r10,m_RT ~ country +  Letters_n + logBNC,-0.394,-0.505,-0.272,0.00459673140755428,0,0.05,1175.5,bnc,euc,lowercase,probability_ratios_None,r_10,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_probability_ratios_None_r3,m_RT ~ country +  Letters_n + logBNC,-0.426,-0.541,-0.297,0.00272372780572816,0,0.017,1172.3,euc_bnc_probability_ratios_None_r3m_RT ~ country +  Letters_n + logBNC,euc_bnc_probability_ratios_None_r3,m_RT ~ country +  Letters_n + logBNC,-0.424,-0.532,-0.301,0.00272372780572816,0,0.018,1173.6,bnc,euc,lowercase,probability_ratios_None,r_03,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_bnc_probability_ratios_None_r5,m_RT ~ country +  Letters_n + logBNC,-0.412,-0.541,-0.287,0.00330705723498784,0,0.029,1173.3,euc_bnc_probability_ratios_None_r5m_RT ~ country +  Letters_n + logBNC,euc_bnc_probability_ratios_None_r5,m_RT ~ country +  Letters_n + logBNC,-0.411,-0.52,-0.274,0.00330705723498784,0,0.031,1174.6,bnc,euc,lowercase,probability_ratios_None,r_05,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_bnc_skipgram_100_r1,m_RT ~ country +  Letters_n + logBNC,0.017,-0.182,0.186,-0.0903059370307614,23.39,0.284,1177.1,euc_bnc_skipgram_100_r1m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_100_r1,m_RT ~ country +  Letters_n + logBNC,0.016,-0.194,0.206,-0.0903059370307614,23.41,0.286,1178.3,bnc,euc,lowercase,skipgram,r_01,100,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_100_r10,m_RT ~ country +  Letters_n + logBNC,0.132,-0.021,0.324,-0.157779335744934,119.78,0.001,1167.5,euc_bnc_skipgram_100_r10m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_100_r10,m_RT ~ country +  Letters_n + logBNC,0.131,-0.063,0.329,-0.157779335744934,120.43,0.001,1168.7,bnc,euc,lowercase,skipgram,r_10,100,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_skipgram_100_r3,m_RT ~ country +  Letters_n + logBNC,0.123,-0.107,0.344,-0.101645425254499,57.23,0.025,1173,euc_bnc_skipgram_100_r3m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_100_r3,m_RT ~ country +  Letters_n + logBNC,0.122,-0.092,0.298,-0.101645425254499,57.53,0.025,1174.2,bnc,euc,lowercase,skipgram,r_03,100,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_bnc_skipgram_100_r5,m_RT ~ country +  Letters_n + logBNC,0.149,-0.078,0.354,-0.072681039060869,76.59,0.007,1170.7,euc_bnc_skipgram_100_r5m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_100_r5,m_RT ~ country +  Letters_n + logBNC,0.148,-0.047,0.335,-0.072681039060869,77.07,0.007,1171.9,bnc,euc,lowercase,skipgram,r_05,100,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_skipgram_200_r1,m_RT ~ country +  Letters_n + logBNC,-0.003,-0.192,0.216,-0.0718163865927805,17.54,0.41,1177.6,euc_bnc_skipgram_200_r1m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_200_r1,m_RT ~ country +  Letters_n + logBNC,-0.003,-0.241,0.208,-0.0718163865927805,17.59,0.412,1178.8,bnc,euc,lowercase,skipgram,r_01,200,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_200_r10,m_RT ~ country +  Letters_n + logBNC,-0.085,-0.293,0.115,-0.0738808547969444,76.82,0.024,1172.9,euc_bnc_skipgram_200_r10m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_200_r10,m_RT ~ country +  Letters_n + logBNC,-0.086,-0.298,0.113,-0.0738808547969444,77.04,0.024,1174.2,bnc,euc,lowercase,skipgram,r_10,200,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_bnc_skipgram_200_r3,m_RT ~ country +  Letters_n + logBNC,0.004,-0.212,0.231,-0.036433051790464,34.55,0.127,1175.9,euc_bnc_skipgram_200_r3m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_200_r3,m_RT ~ country +  Letters_n + logBNC,0.004,-0.232,0.231,-0.036433051790464,34.6,0.129,1177.1,bnc,euc,lowercase,skipgram,r_03,200,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_200_r5,m_RT ~ country +  Letters_n + logBNC,-0.02,-0.255,0.181,-0.0742488990015853,49.17,0.065,1174.7,euc_bnc_skipgram_200_r5m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_200_r5,m_RT ~ country +  Letters_n + logBNC,-0.021,-0.215,0.191,-0.0742488990015853,49.35,0.065,1175.9,bnc,euc,lowercase,skipgram,r_05,200,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_300_r1,m_RT ~ country +  Letters_n + logBNC,0.062,-0.16,0.285,-0.0870039383908926,24.25,0.245,1176.9,euc_bnc_skipgram_300_r1m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_300_r1,m_RT ~ country +  Letters_n + logBNC,0.061,-0.158,0.273,-0.0870039383908926,24.25,0.248,1178.1,bnc,euc,lowercase,skipgram,r_01,300,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_300_r10,m_RT ~ country +  Letters_n + logBNC,-0.177,-0.348,0.022,-0.0376331748380435,50.47,0.092,1175.3,euc_bnc_skipgram_300_r10m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_300_r10,m_RT ~ country +  Letters_n + logBNC,-0.178,-0.378,0.042,-0.0376331748380435,50.5,0.094,1176.5,bnc,euc,lowercase,skipgram,r_10,300,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_300_r3,m_RT ~ country +  Letters_n + logBNC,0.024,-0.179,0.255,-0.0615796197366888,33.54,0.116,1175.7,euc_bnc_skipgram_300_r3m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_300_r3,m_RT ~ country +  Letters_n + logBNC,0.023,-0.195,0.217,-0.0615796197366888,33.53,0.118,1176.9,bnc,euc,lowercase,skipgram,r_03,300,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_300_r5,m_RT ~ country +  Letters_n + logBNC,-0.083,-0.269,0.119,-0.0370057766113786,36.42,0.125,1175.8,euc_bnc_skipgram_300_r5m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_300_r5,m_RT ~ country +  Letters_n + logBNC,-0.085,-0.319,0.114,-0.0370057766113786,36.2,0.13,1177.1,bnc,euc,lowercase,skipgram,r_05,300,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_50_r1,m_RT ~ country +  Letters_n + logBNC,0.032,-0.189,0.277,-0.0705216731759183,24.83,0.274,1177.1,euc_bnc_skipgram_50_r1m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_50_r1,m_RT ~ country +  Letters_n + logBNC,0.032,-0.19,0.235,-0.0705216731759183,25.01,0.273,1178.3,bnc,euc,lowercase,skipgram,r_01,50,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_50_r10,m_RT ~ country +  Letters_n + logBNC,0.172,-0.032,0.34,-0.138550026188446,91.58,0.005,1170.1,euc_bnc_skipgram_50_r10m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_50_r10,m_RT ~ country +  Letters_n + logBNC,0.172,-0.044,0.353,-0.138550026188446,92.57,0.005,1171.3,bnc,euc,lowercase,skipgram,r_10,50,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
euc_bnc_skipgram_50_r3,m_RT ~ country +  Letters_n + logBNC,0.191,0.01,0.362,-0.135104952823161,57.33,0.034,1173.6,euc_bnc_skipgram_50_r3m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_50_r3,m_RT ~ country +  Letters_n + logBNC,0.191,0.012,0.369,-0.135104952823161,57.74,0.034,1174.8,bnc,euc,lowercase,skipgram,r_03,50,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_bnc_skipgram_50_r5,m_RT ~ country +  Letters_n + logBNC,0.267,0.082,0.437,-0.0780106944332751,71.08,0.013,1171.8,euc_bnc_skipgram_50_r5m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_50_r5,m_RT ~ country +  Letters_n + logBNC,0.266,0.086,0.454,-0.0780106944332751,71.61,0.013,1172.9,bnc,euc,lowercase,skipgram,r_05,50,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
euc_bnc_skipgram_500_r1,m_RT ~ country +  Letters_n + logBNC,0.06,-0.143,0.274,-0.0809696113752722,20.95,0.339,1177.4,euc_bnc_skipgram_500_r1m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_500_r1,m_RT ~ country +  Letters_n + logBNC,0.06,-0.116,0.255,-0.0809696113752722,21.02,0.34,1178.6,bnc,euc,lowercase,skipgram,r_01,500,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_500_r10,m_RT ~ country +  Letters_n + logBNC,-0.272,-0.462,-0.093,-0.0259203022124023,23.72,0.382,1177.5,euc_bnc_skipgram_500_r10m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_500_r10,m_RT ~ country +  Letters_n + logBNC,-0.273,-0.44,-0.075,-0.0259203022124023,23.56,0.388,1178.7,bnc,euc,lowercase,skipgram,r_10,500,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_500_r3,m_RT ~ country +  Letters_n + logBNC,0.032,-0.163,0.233,-0.0297080982483717,34.49,0.081,1175.1,euc_bnc_skipgram_500_r3m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_500_r3,m_RT ~ country +  Letters_n + logBNC,0.031,-0.178,0.248,-0.0297080982483717,34.39,0.083,1176.3,bnc,euc,lowercase,skipgram,r_03,500,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
euc_bnc_skipgram_500_r5,m_RT ~ country +  Letters_n + logBNC,-0.09,-0.294,0.101,-0.03986384210067,31.93,0.115,1175.7,euc_bnc_skipgram_500_r5m_RT ~ country +  Letters_n + logBNC,euc_bnc_skipgram_500_r5,m_RT ~ country +  Letters_n + logBNC,-0.092,-0.281,0.093,-0.03986384210067,31.66,0.12,1177,bnc,euc,lowercase,skipgram,r_05,500,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_100_r1,m_RT ~ country +  Letters_n + logBNC,-0.102,-0.306,0.112,-0.0687240925765123,-52.19,0.601,1178,cor_bnc_cbow_100_r1m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_100_r1,m_RT ~ country +  Letters_n + logBNC,-0.1,-0.324,0.135,-0.0687240925765123,-51.04,0.611,1179.3,bnc,cor,lowercase,cbow,r_01,100,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_100_r10,m_RT ~ country +  Letters_n + logBNC,0.21,0.024,0.397,-0.190914442484067,75.42,0.277,1177.1,cor_bnc_cbow_100_r10m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_100_r10,m_RT ~ country +  Letters_n + logBNC,0.212,0.019,0.408,-0.190914442484067,77.48,0.267,1178.2,bnc,cor,lowercase,cbow,r_10,100,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_100_r3,m_RT ~ country +  Letters_n + logBNC,0.111,-0.088,0.304,-0.16597481500349,41.74,0.526,1177.9,cor_bnc_cbow_100_r3m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_100_r3,m_RT ~ country +  Letters_n + logBNC,0.113,-0.074,0.292,-0.16597481500349,44.16,0.505,1179.1,bnc,cor,lowercase,cbow,r_03,100,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_100_r5,m_RT ~ country +  Letters_n + logBNC,0.127,-0.064,0.292,-0.196263375059093,44.31,0.519,1177.9,cor_bnc_cbow_100_r5m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_100_r5,m_RT ~ country +  Letters_n + logBNC,0.129,-0.069,0.307,-0.196263375059093,46.49,0.502,1179,bnc,cor,lowercase,cbow,r_05,100,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_200_r1,m_RT ~ country +  Letters_n + logBNC,-0.062,-0.264,0.115,-0.0814268651674411,-47.19,0.661,1178.1,cor_bnc_cbow_200_r1m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_200_r1,m_RT ~ country +  Letters_n + logBNC,-0.06,-0.247,0.145,-0.0814268651674411,-45.29,0.676,1179.3,bnc,cor,lowercase,cbow,r_01,200,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_200_r10,m_RT ~ country +  Letters_n + logBNC,0.191,-0.033,0.385,-0.194377476545754,61.54,0.396,1177.6,cor_bnc_cbow_200_r10m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_200_r10,m_RT ~ country +  Letters_n + logBNC,0.193,-0.014,0.36,-0.194377476545754,63.97,0.381,1178.7,bnc,cor,lowercase,cbow,r_10,200,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_200_r3,m_RT ~ country +  Letters_n + logBNC,0.121,-0.071,0.333,-0.15748228378205,41.45,0.606,1178,cor_bnc_cbow_200_r3m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_200_r3,m_RT ~ country +  Letters_n + logBNC,0.123,-0.079,0.338,-0.15748228378205,43.91,0.587,1179.2,bnc,cor,lowercase,cbow,r_03,200,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_200_r5,m_RT ~ country +  Letters_n + logBNC,0.224,0.052,0.402,-0.209288294816273,92.51,0.221,1176.7,cor_bnc_cbow_200_r5m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_200_r5,m_RT ~ country +  Letters_n + logBNC,0.226,0.021,0.41,-0.209288294816273,95.21,0.211,1177.9,bnc,cor,lowercase,cbow,r_05,200,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_300_r1,m_RT ~ country +  Letters_n + logBNC,-0.064,-0.277,0.118,-0.0823406389013217,-62.84,0.59,1178,cor_bnc_cbow_300_r1m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_300_r1,m_RT ~ country +  Letters_n + logBNC,-0.062,-0.262,0.18,-0.0823406389013217,-61.11,0.602,1179.2,bnc,cor,lowercase,cbow,r_01,300,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_300_r10,m_RT ~ country +  Letters_n + logBNC,0.184,-0.036,0.364,-0.203385495041695,75.2,0.312,1177.2,cor_bnc_cbow_300_r10m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_300_r10,m_RT ~ country +  Letters_n + logBNC,0.186,-0.003,0.386,-0.203385495041695,77.82,0.299,1178.4,bnc,cor,lowercase,cbow,r_10,300,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_300_r3,m_RT ~ country +  Letters_n + logBNC,0.096,-0.12,0.304,-0.156911391571155,33.3,0.665,1178.1,cor_bnc_cbow_300_r3m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_300_r3,m_RT ~ country +  Letters_n + logBNC,0.098,-0.105,0.308,-0.156911391571155,35.93,0.643,1179.3,bnc,cor,lowercase,cbow,r_03,300,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_300_r5,m_RT ~ country +  Letters_n + logBNC,0.165,-0.083,0.398,-0.192892177665884,62.33,0.376,1177.5,cor_bnc_cbow_300_r5m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_300_r5,m_RT ~ country +  Letters_n + logBNC,0.168,-0.046,0.351,-0.192892177665884,64.97,0.359,1178.6,bnc,cor,lowercase,cbow,r_05,300,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_50_r1,m_RT ~ country +  Letters_n + logBNC,-0.02,-0.21,0.188,-0.114649046991541,6,0.938,1178.3,cor_bnc_cbow_50_r1m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_50_r1,m_RT ~ country +  Letters_n + logBNC,-0.018,-0.212,0.185,-0.114649046991541,7.85,0.92,1179.5,bnc,cor,lowercase,cbow,r_01,50,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_50_r10,m_RT ~ country +  Letters_n + logBNC,0.194,0.029,0.373,-0.190015508993938,54.72,0.327,1177.3,cor_bnc_cbow_50_r10m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_50_r10,m_RT ~ country +  Letters_n + logBNC,0.196,-0.021,0.359,-0.190015508993938,56.58,0.314,1178.5,bnc,cor,lowercase,cbow,r_10,50,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_50_r3,m_RT ~ country +  Letters_n + logBNC,0.075,-0.131,0.299,-0.178100006452213,40.95,0.507,1177.9,cor_bnc_cbow_50_r3m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_50_r3,m_RT ~ country +  Letters_n + logBNC,0.079,-0.112,0.275,-0.178100006452213,43.73,0.482,1179,bnc,cor,lowercase,cbow,r_03,50,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_50_r5,m_RT ~ country +  Letters_n + logBNC,0.162,-0.046,0.329,-0.197444241993504,58.5,0.299,1177.2,cor_bnc_cbow_50_r5m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_50_r5,m_RT ~ country +  Letters_n + logBNC,0.165,-0.031,0.344,-0.197444241993504,60.83,0.283,1178.3,bnc,cor,lowercase,cbow,r_05,50,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_500_r1,m_RT ~ country +  Letters_n + logBNC,-0.069,-0.275,0.126,-0.0772756860768509,-80.4,0.494,1177.8,cor_bnc_cbow_500_r1m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_500_r1,m_RT ~ country +  Letters_n + logBNC,-0.067,-0.249,0.157,-0.0772756860768509,-78.98,0.504,1179.1,bnc,cor,lowercase,cbow,r_01,500,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_500_r10,m_RT ~ country +  Letters_n + logBNC,0.185,-0.03,0.404,-0.188612554966859,75.01,0.306,1177.2,cor_bnc_cbow_500_r10m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_500_r10,m_RT ~ country +  Letters_n + logBNC,0.187,-0.013,0.368,-0.188612554966859,77.17,0.295,1178.4,bnc,cor,lowercase,cbow,r_10,500,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_500_r3,m_RT ~ country +  Letters_n + logBNC,0.163,-0.031,0.345,-0.184887989103339,60.88,0.466,1177.8,cor_bnc_cbow_500_r3m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_500_r3,m_RT ~ country +  Letters_n + logBNC,0.165,-0.019,0.34,-0.184887989103339,63.69,0.448,1178.9,bnc,cor,lowercase,cbow,r_03,500,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_cbow_500_r5,m_RT ~ country +  Letters_n + logBNC,0.199,0.008,0.399,-0.224532678659428,95.89,0.219,1176.7,cor_bnc_cbow_500_r5m_RT ~ country +  Letters_n + logBNC,cor_bnc_cbow_500_r5,m_RT ~ country +  Letters_n + logBNC,0.202,0.023,0.38,-0.224532678659428,99.19,0.206,1177.8,bnc,cor,lowercase,cbow,r_05,500,predict,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_conditional_probability_None_r1,m_RT ~ country +  Letters_n + logBNC,-0.334,-0.496,-0.162,0.011047223274121,-63.8,0.441,1177.7,cor_bnc_conditional_probability_None_r1m_RT ~ country +  Letters_n + logBNC,cor_bnc_conditional_probability_None_r1,m_RT ~ country +  Letters_n + logBNC,-0.335,-0.508,-0.167,0.011047223274121,-65.72,0.43,1178.9,bnc,cor,lowercase,conditional_probability_None,r_01,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
cor_bnc_conditional_probability_None_r10,m_RT ~ country +  Letters_n + logBNC,-0.358,-0.485,-0.214,0.0334326049021723,-618.85,0.145,1176.1,cor_bnc_conditional_probability_None_r10m_RT ~ country +  Letters_n + logBNC,cor_bnc_conditional_probability_None_r10,m_RT ~ country +  Letters_n + logBNC,-0.357,-0.473,-0.235,0.0334326049021723,-614.06,0.151,1177.3,bnc,cor,lowercase,conditional_probability_None,r_10,None,count,1173.76,1174.96,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
