lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef.subtitles_conditional_probability_ngram_None_r1_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef.subtitles_conditional_probability_ngram_None_r1_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
cor_subtitles_skipgram_100_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.501,0.36,0.629,-0.175595681161096,586.3,0,1160.3,cor_subtitles_skipgram_100_r5m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_100_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.496,0.346,0.634,-0.175595681161096,582.61,0,1162.1,subtitles,cor,lowercase,skipgram,r_05,100,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_200_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.282,0.108,0.434,-0.00619194317948163,361.95,0.01,1173.9,cor_subtitles_skipgram_200_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_200_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.279,0.135,0.437,-0.00619194317948163,359.37,0.011,1175.3,subtitles,cor,lowercase,skipgram,r_01,200,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
cor_subtitles_skipgram_200_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.409,0.221,0.574,-0.0758808517367845,474.84,0,1167.3,cor_subtitles_skipgram_200_r10m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_200_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.403,0.245,0.573,-0.0758808517367845,468.64,0,1169.1,subtitles,cor,lowercase,skipgram,r_10,200,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_200_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.348,0.167,0.497,-0.0752503581758003,468.75,0.001,1170.1,cor_subtitles_skipgram_200_r3m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_200_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.342,0.158,0.494,-0.0752503581758003,463.09,0.002,1171.7,subtitles,cor,lowercase,skipgram,r_03,200,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_200_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.454,0.272,0.609,-0.135261223283357,579.46,0,1162.3,cor_subtitles_skipgram_200_r5m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_200_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.448,0.277,0.599,-0.135261223283357,573.36,0,1164.2,subtitles,cor,lowercase,skipgram,r_05,200,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_300_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.304,0.184,0.449,-0.054706445333521,559.32,0.001,1169.6,cor_subtitles_skipgram_300_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_300_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.301,0.158,0.438,-0.054706445333521,557.6,0.001,1171,subtitles,cor,lowercase,skipgram,r_01,300,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_300_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.446,0.279,0.585,-0.110116539589466,593.4,0,1163.3,cor_subtitles_skipgram_300_r10m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_300_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.44,0.259,0.575,-0.110116539589466,588.34,0,1165.1,subtitles,cor,lowercase,skipgram,r_10,300,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_300_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.24,0.059,0.414,-0.013220261389318,565.05,0.002,1170.6,cor_subtitles_skipgram_300_r3m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_300_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.234,0.049,0.408,-0.013220261389318,557.71,0.002,1172.3,subtitles,cor,lowercase,skipgram,r_03,300,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_300_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.398,0.219,0.56,-0.0713345374513921,591.92,0,1165,cor_subtitles_skipgram_300_r5m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_300_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.393,0.239,0.535,-0.0713345374513921,586.45,0,1166.8,subtitles,cor,lowercase,skipgram,r_05,300,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cor_subtitles_skipgram_50_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.264,0.06,0.465,-0.00917667703798908,315.45,0.01,1173.9,cor_subtitles_skipgram_50_r1m_RT ~ country +  Letters_n + logSUBTITLES,cor_subtitles_skipgram_50_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.263,0.096,0.44,-0.00917667703798908,316.27,0.011,1175.2,subtitles,cor,lowercase,skipgram,r_01,50,predict,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
